epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.0567,1.28037,1.49422,0.00219,0.93334,0.77074,0.90309,0.75665,0.7046,0.62389,0.00158,0.00165736,0.000552455,0.00165736,0.000552455,0.00165736,0.000552455,0.00165736,0.000552455
2,114.556,1.0958,1.25776,0.00188,0.93787,0.82426,0.92671,0.79029,0.64321,0.54858,0.00142,0.00319272,0.00106424,0.00319272,0.00106424,0.00319272,0.00106424,0.00319272,0.00106424
3,165.16,1.0277,1.16563,0.00172,0.90756,0.85281,0.92444,0.76753,0.73564,0.54692,0.00169,0.00459605,0.00153202,0.00459605,0.00153202,0.00459605,0.00153202,0.00459605,0.00153202
4,215.724,0.99562,1.07255,0.00168,0.91284,0.8537,0.92079,0.78656,0.63838,0.56675,0.0014,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
5,268.037,0.91574,1.00418,0.00154,0.92099,0.85549,0.93007,0.79916,0.65196,0.52432,0.00141,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
6,318.678,0.89923,0.95574,0.00149,0.94393,0.82594,0.92788,0.79426,0.66598,0.50568,0.00145,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
7,368.416,0.88506,0.92221,0.00148,0.90833,0.85735,0.93744,0.82334,0.58384,0.43659,0.00127,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
8,418.665,0.84954,0.87349,0.00142,0.92202,0.84746,0.93956,0.81163,0.64492,0.44187,0.0014,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
9,468.613,0.84384,0.87387,0.00144,0.92924,0.84567,0.93176,0.80359,0.63338,0.4843,0.00137,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
10,519.753,0.80645,0.79311,0.00135,0.93043,0.86173,0.93999,0.81187,0.61937,0.45144,0.00135,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
11,570.336,0.82745,0.79651,0.00136,0.92531,0.85905,0.94234,0.81012,0.62416,0.41316,0.00138,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
12,621.244,0.80289,0.76799,0.00135,0.92565,0.86708,0.94588,0.83204,0.5834,0.39125,0.00125,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
13,671.398,0.80234,0.75173,0.00134,0.93151,0.85549,0.94183,0.81744,0.60027,0.38539,0.00126,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
14,721.586,0.78508,0.71935,0.00131,0.92905,0.85995,0.94509,0.83185,0.57702,0.38825,0.00123,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
15,771.384,0.75501,0.6987,0.00125,0.93266,0.85192,0.94603,0.83434,0.57515,0.37658,0.00124,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
16,816.162,0.64082,0.64814,0.00117,0.94057,0.84032,0.94425,0.79852,0.64829,0.39031,0.00138,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
17,860.58,0.62626,0.61146,0.00114,0.90833,0.87508,0.94665,0.82809,0.58642,0.37632,0.00126,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
18,905.052,0.58136,0.584,0.00106,0.94449,0.84032,0.94401,0.80494,0.65292,0.40223,0.00144,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
19,949.642,0.57308,0.56012,0.00105,0.94767,0.84835,0.94539,0.82363,0.60401,0.36056,0.0013,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
20,994.037,0.56116,0.54819,0.00102,0.93476,0.85633,0.94424,0.8207,0.61319,0.3608,0.00133,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
21,1038.88,0.5603,0.53908,0.00102,0.93833,0.86441,0.94586,0.83161,0.59244,0.35809,0.00128,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
22,1084.1,0.55323,0.52998,0.00099,0.93917,0.85192,0.94439,0.83247,0.58179,0.35988,0.00124,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
23,1128.99,0.54212,0.51875,0.00098,0.92798,0.85054,0.94168,0.81708,0.59395,0.37192,0.00128,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
24,1173.73,0.543,0.50584,0.00098,0.94041,0.84469,0.94286,0.83079,0.5735,0.35792,0.00123,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
25,1219.52,0.53991,0.52009,0.00097,0.93081,0.85209,0.94348,0.82957,0.57767,0.36221,0.00124,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
